"icao","naziv","drzava","koordinate"
"KSZL","Whiteman Air Force Base","US","-93.547897338867, 38.730300903"
"KTCM","McChord Air Force Base","US","-122.475997925, 47.1376991272"
"KTIK","Tinker Air Force Base","US","-97.386596679688, 35.414699554"
"KTLH","Tallahassee Regional Airport","US","-84.35030364990234, 30.3964996"
"KTOL","Toledo Express Airport","US","-83.80780029, 41.58679962"
"KTPA","Tampa International Airport","US","-82.533203125, 27.975500106811"
"KTRI","Tri-Cities Regional TN/VA Airport","US","-82.407401, 36.475201"
"KTUL","Tulsa International Airport","US","-95.88809967041016, 36.1983985"
"KTUS","Tucson International Airport","US","-110.94100189208984, 32.116100"
"KTYS","McGhee Tyson Airport","US","-83.9940033, 35.81100082"
"KVBG","Vandenberg Air Force Base","US","-120.583999634, 34.7373008728"
"KVPS","Destin-Ft Walton Beach Airport","US","-86.525398, 30.4832"
"KWRB","Robins Air Force Base","US","-83.5919036865, 32.6400985718"
"LATI","Tirana International Airport Mother Teresa","AL","19.7206001282, 41.4146995544"
"LBBG","Burgas Airport","BG","27.515199661254883, 42.5695991"
"LBSF","Sofia Airport","BG","23.411436080932617, 42.6966934"
"LBWN","Varna Airport","BG","27.8251, 43.232101"
"LCLK","Larnaca International Airport","CY","33.624900817871094, 34.8750991"
"LCPH","Paphos International Airport","CY","32.48569869995117, 34.71799850"
"LCRA","RAF Akrotiri","GB","32.9879, 34.590401"
"LDZA","Zagreb Airport","HR","16.0687999725, 45.7429008484"
"LEAL","Alicante International Airport","ES","-0.5581560134887695, 38.282199"
"LEBL","Barcelona International Airport","ES","2.07846, 41.2971"
"LEPA","Palma De Mallorca Airport","ES","2.73881006241, 39.551700592"
"LEST","Santiago de Compostela Airport","ES","-8.415140151977539, 42.8963012"
"LFBO","Toulouse-Blagnac Airport","FR","1.36382, 43.629101"
"LFML","Marseille Provence Airport","FR","5.22142410278, 43.439271922"
"LFOA","Avord (BA 702) Air Base","FR","2.6325, 47.053299"
"LFPG","Charles de Gaulle International Airport","FR","2.55, 49.012798"
"LFPO","Paris-Orly Airport","FR","2.3794444, 48.7233333"
"LFSB","EuroAirport Basel-Mulhouse-Freiburg Airport","FR","7.5291667, 47.59"
"LGAV","Eleftherios Venizelos International Airport","GR","23.9444999695, 37.9364013672"
"LGIR","Heraklion International Nikos Kazantzakis Airport","GR","25.180299758900002, 35.3396987"
"LGTS","Thessaloniki Macedonia International Airport","GR","22.97089958190918, 40.51969909"
"LHBP","Budapest Liszt Ferenc International Airport","HU","19.261093, 47.42976"
"LICC","Catania-Fontanarossa Airport","IT","15.0664, 37.466801"
"LIEE","Cagliari Elmas Airport","IT","9.05428, 39.251499"
"LIMC","Malpensa International Airport","IT","8.72811, 45.6306"
"LIME","Il Caravaggio International Airport","IT","9.70417, 45.673901"
"LIMF","Turin Airport","IT","7.64963, 45.200802"
"LIMJ","Genoa Cristoforo Colombo Airport","IT","8.8375, 44.4133"
"LIML","Milano Linate Airport","IT","9.27674, 45.445099"
"LIPE","Bologna Guglielmo Marconi Airport","IT","11.2887, 44.5354"
"LIPH","Treviso-Sant'Angelo Airport","IT","12.1944, 45.648399"
"LIPX","Verona Villafranca Airport","IT","10.8885, 45.395699"
"LIPZ","Venice Marco Polo Airport","IT","12.3519, 45.505299"
"LIRN","Naples International Airport","IT","14.2908, 40.886002"
"LIRP","Pisa International Airport","IT","10.3927, 43.683899"
"LJLJ","Ljubljana Airport","SI","14.4576, 46.223701"
"LLBG","Ben Gurion International Airport","IL","34.88669967651367, 32.01139831"
"LLOV","Ovda International Airport","IL","34.93579864501953, 29.94029998"
"LMML","Malta International Airport","MT","14.4775, 35.857498"
"LOWW","Vienna International Airport","AT","16.569700241089, 48.1102981567"
"LPFR","Faro Airport","PT","-7.96590995789, 37.0144004822"
"LPLA","Lajes Airport","PT","-27.090799, 38.761799"
"LPPR","Francisco de Carneiro Airport","PT","-8.68138980865, 41.2481002808"
"LPPT","Humberto Delgado Airport Lisbon Portela Airport","PT","-9.13592, 38.7813"
"LQSA","Sarajevo International Airport","BA","18.331499099731445, 43.8246002"
"LSGG","Geneva Cointrin International Airport","CH","6.108950138092041, 46.23809814"
"LSZH","Zürich Airport","CH","8.54917, 47.464699"
"LTAC","Esenboa International Airport","TR","32.995098114, 40.1281013488999"
"LTAF","Adana Airport","TR","35.280399322499996, 36.9822006"
"LTAI","Antalya International Airport","TR","30.800501, 36.898701"
"LTAJ","Gaziantep International Airport","TR","37.4786987305, 36.9472007751"
"LTBJ","Adnan Menderes International Airport","TR","27.156999588, 38.2924003601"
"LTBS","Dalaman International Airport","TR","28.7924995422, 36.7131004333"
"LTCE","Erzurum International Airport","TR","41.17020034789999, 39.95650100"
"LTCG","Trabzon International Airport","TR","39.78969955444336, 40.99509811"
"LTFE","Milas Bodrum International Airport","TR","27.6643009186, 37.250598907499"
"LWSK","Skopje Alexander the Great Airport","MK","21.621401, 41.961601"
"LYBE","Belgrade Nikola Tesla Airport","RS","20.3090991974, 44.8184013367"
"LYPG","Podgorica Airport","ME","19.2519, 42.359402"
"MDPC","Punta Cana International Airport","DO","-68.36340332030001, 18.5673999"
"MGGT","La Aurora Airport","GT","-90.527496, 14.5833"
"MKJP","Norman Manley International Airport","JM","-76.7874984741211, 17.93569946"
"MMAA","General Juan N Alvarez International Airport","MX","-99.75399780273438, 16.7570991"
"MMGL","Don Miguel Hidalgo Y Costilla International Airport","MX","-103.31099700927734, 20.521799"
"MMHO","General Ignacio P. Garcia International Airport","MX","-111.047996521, 29.09589958190"
"MMMX","Licenciado Benito Juarez International Airport","MX","-99.072098, 19.4363"
"MMMY","General Mariano Escobedo International Airport","MX","-100.107002258, 25.7784996033"
"MMSD","Los Cabos International Airport","MX","-109.72100067138672, 23.151800"
"MPTO","Tocumen International Airport","PA","-79.3834991455, 9.0713596344"
"MRLB","Daniel Oduber Quiros International Airport","CR","-85.544403, 10.5933"
"MUVR","Juan Gualberto Gomez International Airport","CU","-81.435302734375, 23.034400939"
"MWCR","Owen Roberts International Airport","KY","-81.3576965332, 19.29280090329"
"MYNN","Lynden Pindling International Airport","BS","-77.46620178219999, 25.0389995"
"MZBZ","Philip S. W. Goldson International Airport","BZ","-88.30819702148438, 17.5391006"
"NCRG","Rarotonga International Airport","CK","-159.805999756, -21.2026996613"
"NTAA","Faa'a International Airport","PF","-149.606995, -17.553699"
"NZAA","Auckland International Airport","NZ","174.792007446, -37.00809860229"
"NZCH","Christchurch International Airport","NZ","172.53199768066406, -43.489398"
"NZWN","Wellington International Airport","NZ","174.804992676, -41.3272018433"
"OBBI","Bahrain International Airport","BH","50.63359832763672, 26.27079963"
"OEDF","King Fahd International Airport","SA","49.79790115356445, 26.47120094"
"OEDR","King Abdulaziz Air Base","SA","50.152000427199994, 26.2653999"
"OEJN","King Abdulaziz International Airport","SA","39.156502, 21.6796"
"OEMA","Prince Mohammad Bin Abdulaziz Airport","SA","39.705101, 24.5534"
"OERK","King Khaled International Airport","SA","46.69879913330078, 24.95759963"
"OIIE","Imam Khomeini International Airport","IR","51.152198791503906, 35.4160995"
"OIII","Mehrabad International Airport","IR","51.31340026855469, 35.68920135"
"OIMM","Mashhad International Airport","IR","59.64099884033203, 36.23519897"
"OISS","Shiraz Shahid Dastghaib International Airport","IR","52.58980178833008, 29.53919982"
"OITT","Tabriz International Airport","IR","46.23500061035156, 38.13389968"
"OJAI","Queen Alia International Airport","JO","35.9931983948, 31.7226009369"
"OKBK","Kuwait International Airport","KW","47.96889877319336, 29.22660064"
"OLBA","Beirut Rafic Hariri International Airport","LB","35.488399505615234, 33.8208999"
"OM-0003","Duqm International Airport","OM","57.634167, 19.501944"
"OM-0004","Rustaq Airport","OM","57.4875, 23.640556"
"OMAA","Abu Dhabi International Airport","AE","54.651100158691406, 24.4330005"
"OMDB","Dubai International Airport","AE","55.3643989563, 25.2527999878"
"OMDW","Al Maktoum International Airport","AE","55.161389, 24.896356"
"OMSJ","Sharjah International Airport","AE","55.5172004699707, 25.328599929"
"OOMS","Muscat International Airport","OM","58.284400939941406, 23.5932998"
"OPST","Sialkot Airport","PK","74.3638916016, 32.5355567932"
"ORBI","Baghdad International Airport","IQ","44.2346000671, 33.262500762900"
"ORMM","Basrah International Airport","IQ","47.66210174560547, 30.54910087"
"OSAP","Aleppo International Airport","SY","37.22439956665039, 36.18069839"
"OSDI","Damascus International Airport","SY","36.51559829711914, 33.41149902"
"OSLK","Bassel Al-Assad International Airport","SY","35.948699951171875, 35.4011001"
"PAFA","Fairbanks International Airport","US","-147.8560028, 64.81510162"
"PANC","Ted Stevens Anchorage International Airport","US","-149.99600219726562, 61.174400"
"PGUM","Antonio B. Won Pat International Airport","GU","144.796005249, 13.4834003448"
"PH-0001","Laguindingan Airport","PH","124.456496, 8.612203"
"PH-0073","Northern Cagayan International Airport","PH","121.745853, 18.182388"
"PHNL","Daniel K Inouye International Airport","US","-157.924228, 21.32062"
"PK-0001","New Islamabad International Airport","PK","72.851613, 33.560713"
"QA-0001","Hamad International Airport","QA","51.608056, 25.273056"
"RCBS","Kinmen Airport","TW","118.359001, 24.4279"
"RCKH","Kaohsiung International Airport","TW","120.3499984741211, 22.57710075"
"RCTP","Taiwan Taoyuan International Airport","TW","121.233002, 25.0777"
"RJAA","Narita International Airport","JP","140.386001587, 35.7647018433"
"RJBB","Kansai International Airport","JP","135.24400329589844, 34.4272994"
"RJCC","New Chitose Airport","JP","141.69200134277344, 42.7751998"
"RJFF","Fukuoka Airport","JP","130.4510040283203, 33.58589935"
"RJFK","Kagoshima Airport","JP","130.718994140625, 31.803400039"
"RJGG","Chubu Centrair International Airport","JP","136.80499267578125, 34.8583984"
"rjns","Mt. Fuji Shizuoka Airport","JP","138.18775177, 34.7960434679"
"RJOO","Osaka International Airport","JP","135.43800354003906, 34.7854995"
"RJTT","Tokyo Haneda International Airport","JP","139.779999, 35.552299"
"RJTY","Yokota Air Base","JP","139.34800720214844, 35.7485008"
"RKJB","Muan International Airport","KR","126.382814, 34.991406"
"RKJK","Kunsan Air Base","KR","126.61599731445312, 35.9038009"
"RKPC","Jeju International Airport","KR","126.49299621582031, 33.5112991"
"RKPK","Gimhae International Airport","KR","128.93800354, 35.1795005798"
"RKSI","Incheon International Airport","KR","126.45099639892578, 37.4691009"
"RKSO","Osan Air Base","KR","127.029999, 37.090599"
"RKSS","Gimpo International Airport","KR","126.791, 37.5583"
"RKTU","Cheongju International Airport/Cheongju Air Base (K-59/G-513)","KR","127.498741, 36.717008"
"ROAH","Naha Airport","JP","127.646003723, 26.1958007812"
"RODN","Kadena Air Base","JP","127.767998, 26.3556"
"RPLC","Diosdado Macapagal International Airport","PH","120.559998, 15.186"
"RPLL","Ninoy Aquino International Airport","PH","121.019997, 14.5086"
"RPMD","Francisco Bangoy International Airport","PH","125.64600372314453, 7.12552022"
"RPVM","Mactan Cebu International Airport","PH","123.97899627686, 10.3074998855"
"RU-0016","Lipetsk Air Base","RU","39.44499969482422, 52.63499832"
"RU-0035","Grozny North Airport","RU","45.698601, 43.388302"
"RU-2244","Ukrainka Air Base","RU","128.445007, 51.169997"
"RU-4464","Olenya Air Base","RU","33.463901519775, 68.1518020629"
"SA-0011","Ash Sharqiyah Region, Saudi Arabia","SA","2.9999999999, 1"
"SAEZ","Ministro Pistarini International Airport","AR","-58.5358, -34.8222"
"SBBR","Presidente Juscelino Kubistschek International Airport","BR","-47.920833587646484, -15.86916"
"SBCF","Tancredo Neves International Airport","BR","-43.97194290161133, -19.624443"
"SBCT","Afonso Pena Airport","BR","-49.1758003235, -25.5284996033"
"SBSP","Congonhas Airport","BR","-46.65638732910156, -23.626110"
"SELT","Cotopaxi International Airport","EC","-78.615799, -0.906833"
"SEQM","Mariscal Sucre International Airport","EC","-78.3575, -0.129166666667"
"SKBO","El Dorado International Airport","CO","-74.1469, 4.70159"
"SLVR","Viru Viru International Airport","BO","-63.135399, -17.6448"
"SPZO","Alejandro Velasco Astete International Airport","PE","-71.9387969971, -13.5356998444"
"SUMU","Carrasco International /General C L Berisso Airport","UY","-56.0308, -34.838402"
"TJSJ","Luis Munoz Marin International Airport","PR","-66.0018005371, 18.4393997192"
"TN-0002","Enfidha - Hammamet International Airport","TN","10.438611, 36.075833"
"TNCM","Princess Juliana International Airport","SX","-63.1088981628, 18.04100036620"
"TR-0043","Istanbul New Airport","TR","28.751944, 41.275278"
"UAAA","Almaty Airport","KZ","77.04049682617188, 43.35210037"
"UACC","Astana International Airport","KZ","71.46690368652344, 51.02220153"
"UAFM","Manas International Airport","KG","74.4776000977, 43.0612983704"
"UAKK","Sary-Arka Airport","KZ","73.33439636230469, 49.67079925"
"UBBB","Heydar Aliyev International Airport","AZ","50.04669952392578, 40.46749877"
"UDYZ","Zvartnots International Airport","AM","44.3959007263, 40.1473007202"
"UGTB","Tbilisi International Airport","GE","44.95470047, 41.6692008972"
"UHHH","Khabarovsk-Novy Airport","RU","135.18800354004, 48.5279998779"
"UKBB","Boryspil International Airport","UA","30.894699096679688, 50.3450012"
"UKFF","Simferopol International Airport","UA","33.975101470947266, 45.0522003"
"UKHH","Kharkiv International Airport","UA","36.290000915527344, 49.9248008"
"UKOO","Odessa International Airport","UA","30.67650032043457, 46.42679977"
"ULLI","Pulkovo Airport","RU","30.262500762939453, 59.8003005"
"UMMS","Minsk National Airport","BY","28.030700683594, 53.8824996948"
"UNKL","Yemelyanovo Airport","RU","92.493301, 56.172901"
"UNNT","Tolmachevo Airport","RU","82.650703430176, 55.0125999450"
"URRP","Platov International Airport","RU","39.924722, 47.493888"
"URSS","Sochi International Airport","RU","39.9566, 43.449902"
"USSS","Koltsovo Airport","RU","60.802700042725, 56.7430992126"
"UTAA","Ashgabat International Airport","TM","58.361, 37.986801"
"UTTT","Tashkent International Airport","UZ","69.2811965942, 41.257900238"
"UUBW","Zhukovsky International Airport","RU","38.150002, 55.553299"
"UUDD","Domodedovo International Airport","RU","37.90629959106445, 55.40879821"
"UUEE","Sheremetyevo International Airport","RU","37.4146, 55.972599"
"UUWW","Vnukovo International Airport","RU","37.2615013123, 55.5914993286"
"UWKD","Kazan International Airport","RU","49.278701782227, 55.6062011718"
"UWKG","Borisoglebskoye Airport","RU","49.13330078125, 55.86669921875"
"UWUU","Ufa International Airport","RU","55.874401092529, 54.5574989318"
"UWWW","Kurumoch International Airport","RU","50.16429901123, 53.50490188598"
"VABB","Chhatrapati Shivaji International Airport","IN","72.8678970337, 19.0886993408"
"VAGO","Dabolim Airport","IN","73.8313980103, 15.3808002472"
"VCBI","Bandaranaike International Colombo Airport","LK","79.88410186767578, 7.180759906"
"VCRI","Mattala Rajapaksa International Airport","LK","81.124128, 6.284467"
"VDPP","Phnom Penh International Airport","KH","104.84400177001953, 11.5466003"
"VDSR","Siem Reap International Airport","KH","103.81300354, 13.4106998444000"
"VECC","Netaji Subhash Chandra Bose International Airport","IN","88.44670104980469, 22.65469932"
"VGZR","Hazrat Shahjalal International Airport","BD","90.397783, 23.843347"
"VHHH","Hong Kong International Airport","HK","113.915001, 22.308901"
"VIAR","Sri Guru Ram Dass Jee International Airport","IN","74.7973022461, 31.7096004486"
"VIDP","Indira Gandhi International Airport","IN","77.103104, 28.5665"
"VMMC","Macau International Airport","MO","113.592003, 22.149599"
"VNKT","Tribhuvan International Airport","NP","85.3591, 27.6966"
"VOBL","Kempegowda International Airport","IN","77.706299, 13.1979"
"VOCI","Cochin International Airport","IN","76.401901, 10.152"
"VOCL","Calicut International Airport","IN","75.95529937740001, 11.13679981"
"VOHS","Rajiv Gandhi International Airport","IN","78.4298553467, 17.2313175201"
"VOMM","Chennai International Airport","IN","80.16929626464844, 12.99000549"
"VOTV","Trivandrum International Airport","IN","76.9200973511, 8.48211956024"
"VTBD","Don Mueang International Airport","TH","100.607002258, 13.9125995636"
"VTBS","Suvarnabhumi Airport","TH","100.74700164794922, 13.6810998"
"VTCC","Chiang Mai International Airport","TH","98.962600708, 18.7667999267999"
"VTSP","Phuket International Airport","TH","98.316902, 8.1132"
"VVDN","Da Nang International Airport","VN","108.1989974975586, 16.04389953"
"VVNB","Noi Bai International Airport","VN","105.80699920654297, 21.2212009"
"VVTS","Tan Son Nhat International Airport","VN","106.652000427, 10.8187999725"
"VYMD","Mandalay International Airport","MM","95.97789764404297, 21.70219993"
"VYYY","Yangon International Airport","MM","96.1332015991, 16.907300949099"
"WAAA","Hasanuddin International Airport","ID","119.55400085449219, -5.0616297"
"WADD","Ngurah Rai (Bali) International Airport","ID","115.16699981689, -8.7481698989"
"WAJJ","Sentani International Airport","ID","140.5160064698, -2.5769500733"
"WARR","Juanda International Airport","ID","112.78700256347656, -7.3798298"
"WAXX","Dominique Edward Osok Airport","ID","131.287, -0.894"
"WBSB","Brunei International Airport","BN","114.9280014038086, 4.944200038"
"WIII","Soekarno-Hatta International Airport","ID","106.65599823, -6.1255698204"
"WIMM","Kualanamu International Airport","ID","98.885278, 3.642222"
"WMKK","Kuala Lumpur International Airport","MY","101.70999908447, 2.74557995796"
"WSSS","Singapore Changi Airport","SG","103.994003, 1.35019"
"YBBN","Brisbane International Airport","AU","153.11700439453125, -27.384199"
"YMML","Melbourne International Airport","AU","144.843002, -37.673302"
"YPAD","Adelaide International Airport","AU","138.531006, -34.945"
"YPPH","Perth International Airport","AU","115.96700286865234, -31.940299"
"YSCB","Canberra International Airport","AU","149.19500732421875, -35.306900"
"YSSY","Sydney Kingsford Smith International Airport","AU","151.177001953125, -33.94609832"
"ZBAA","Beijing Capital International Airport","CN","116.58499908447266, 40.0801010"
"ZBAD","Beijing Daxing International Airport","CN","116.41092, 39.509945"
"ZBHH","Baita International Airport","CN","111.823997, 40.851398"
"ZBNY","Beijing Nanyuan Airport","CN","116.38800048828125, 39.7827987"
"ZBTJ","Tianjin Binhai International Airport","CN","117.346000671, 39.124401092499"
"ZBYN","Taiyuan Wusu Airport","CN","112.62799835205078, 37.7468986"
"ZGGG","Guangzhou Baiyun International Airport","CN","113.29900360107422, 23.3924007"
"ZGHA","Changsha Huanghua International Airport","CN","113.220001221, 28.189199447599"
"ZGKL","Guilin Liangjiang International Airport","CN","110.03900146484375, 25.2180995"
"ZGNN","Nanning Wuxu Airport","CN","108.1719970703125, 22.60829925"
"ZGSZ","Shenzhen Bao'an International Airport","CN","113.81099700927734, 22.6392993"
"ZHCC","Zhengzhou Xinzheng International Airport","CN","113.841003418, 34.519699096699"
"ZHHH","Wuhan Tianhe International Airport","CN","114.208, 30.7838"
"ZJHK","Haikou Meilan International Airport","CN","110.45899963378906, 19.9349002"
"ZJSY","Sanya Phoenix International Airport","CN","109.41200256347656, 18.3029003"
"ZLXY","Xi'an Xianyang International Airport","CN","108.751999, 34.447102"
"ZMUB","Chinggis Khaan International Airport","MN","106.766998, 47.843102"
"ZPPP","Kunming Changshui International Airport","CN","102.9291667, 25.1019444"
"ZSAM","Xiamen Gaoqi International Airport","CN","118.12799835205078, 24.5440006"
"ZSFZ","Fuzhou Changle International Airport","CN","119.66300201416016, 25.9351005"
"ZSHC","Hangzhou Xiaoshan International Airport","CN","120.43399810791016, 30.2294998"
"ZSJN","Yaoqiang Airport","CN","117.21600341796875, 36.8572006"
"ZSNB","Ningbo Lishe International Airport","CN","121.46199798583984, 29.8267002"
"ZSNJ","Nanjing Lukou Airport","CN","118.86199951171875, 31.7420005"
"ZSPD","Shanghai Pudong International Airport","CN","121.80500030517578, 31.1434001"
"ZSSS","Shanghai Hongqiao International Airport","CN","121.33599853515625, 31.1979007"
"ZSWZ","Wenzhou Longwan International Airport","CN","120.851997, 27.912201"
"ZUCK","Chongqing Jiangbei International Airport","CN","106.64199829101562, 29.7192001"
"ZUGY","Longdongbao Airport","CN","106.8010025024414, 26.53849983"
"ZUUU","Chengdu Shuangliu International Airport","CN","103.9469985961914, 30.57850074"
"ZYHB","Taiping Airport","CN","126.25, 45.6234016418457"
"ZYTL","Zhoushuizi Airport","CN","121.53900146484375, 38.9656982"
"ZYTX","Taoxian Airport","CN","123.48300170898438, 41.6398010"
